date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:42	683/683	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b01481-2ab%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/skip-link-focus-fix.js?ver=1.0	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/skip-link-focus-fix5152.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:43	4938/4938	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b0144a-134a%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/hoverIntent.js?ver=0.7	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/hoverIntentac14.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:44	15748/15748	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b0146d-3d84%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/superfish.min.js?ver=1.7.10.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/superfish.min7fe1.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:44	10693/10693	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b01444-29c5%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/macy.min.js?ver=1.0	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/macy.min5152.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:45	78586/78586	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260b013dc-132fa%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/bootstrap/js/bootstrap.bundle.min.js?ver=4.3.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/bootstrap/js/bootstrap.bundle.min5b31.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:46	17081/17081	---MCZ	200	added ('OK')	application/javascript	etag:W/%22624c6459-42b9%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/jquery.ui.custom.min.js?ver=1.13.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/jquery.ui.custom.min0028.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:46	104912/104912	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263514c1e-199d0%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/glide.js?ver=3.6.0.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/glide9608.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:46	13800/13800	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638917c8-35e8%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/aos.min.js?ver=3.0.0v2	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/aos.min6c28.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:47	14076/14076	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638916f1-36fc%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/iframe-resizer.min.js?ver=4.3.2	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/iframe-resizer.min274c.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:47	12492/12492	---MCZ	200	added ('OK')	application/javascript	etag:W/%22618aef38-30cc%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/jquery.sticky-sidebar.min.js?ver=3.3.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/jquery.sticky-sidebar.min3d36.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:48	11916/11916	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638917b7-2e8c%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/global.js?ver=v20221201_2	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/js/global6834.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:48	6475/6475	---MCZ	200	added ('OK')	application/javascript	etag:W/%226254194e-194b%22	https://screening.mhanational.org/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:48	17823/17823	---MCZ	200	added ('OK')	application/javascript	etag:W/%226329dfa1-459f%22	https://screening.mhanational.org/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:48	498/498	---MCZ	200	added ('OK')	application/javascript	etag:W/%226254194e-1f2%22	https://screening.mhanational.org/wp-includes/js/dist/dom-ready.min.js?ver=392bdd43726760d1f3ca	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/dist/dom-ready.minded6.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:49	4910/4910	---MCZ	200	added ('OK')	application/javascript	etag:W/%226254194e-132e%22	https://screening.mhanational.org/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/dist/hooks.min6c65.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:49	10230/10230	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632e0f32-27f6%22	https://screening.mhanational.org/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/dist/i18n.mine57b.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:49	2508/2508	---MCZ	200	added ('OK')	application/javascript	etag:W/%226254194e-9cc%22	https://screening.mhanational.org/wp-includes/js/dist/a11y.min.js?ver=ecce20f002eda4c19664	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/dist/a11y.min65c7.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:50	4639/4639	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636ec3e9-121f%22	https://screening.mhanational.org/wp-content/plugins/gravityforms/js/placeholders.jquery.min.js?ver=2.6.8	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/gravityforms/js/placeholders.jquery.min91ac.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:55	850/850	---MC-	200	added ('OK')	text/javascript	date:Sun,%2001%20Jan%202023%2015:04:55%20GMT	https://www.google.com/recaptcha/api.js?hl=en&ver=6.1.1	C:/My%20Web%20Sites/depress/www.google.com/recaptcha/apieee6.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:57	27078/27078	---M-Z	200	added ('OK')	application/javascript	etag:%2213982f81057d03073f476b03d07a95d4%22	http://siteimproveanalytics.com/js/siteanalyze_6229968.js	C:/My%20Web%20Sites/depress/siteimproveanalytics.com/js/siteanalyze_6229968.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:58	1254/1254	---M--	200	added ('OK')	image/png	etag:%2260b0142a-4e6%22	http://screening.mhanational.org/wp-content/themes/mha_s2s/assets/images/arrow-right-white.png	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/images/arrow-right-white.png	(from https://screening.mhanational.org/wp-content/cache/autoptimize/css/autoptimize_7a1ecf2654b585c47ef39ad343596e82.css)
